Restaurant Name,Category,Food Type,Full Address,Average Cost for Two
Hotel Mayur,Pure Veg,Thali / North Indian,"Sector 24, Pradhikaran, Akurdi, Pune",600
Geetai Veg,Pure Veg,Maharashtrian / South Indian,"Bhel Chowk, Pradhikaran, Akurdi, Pune",400
Shreyas Pure Veg,Pure Veg,South Indian / Fast Food,"Near Akurdi Railway Station, Pune",300
Mathura Pure Veg,Pure Veg,North Indian / Chinese,"Sector 26, Pradhikaran, Akurdi, Pune",500
Kalyan Bhel,Pure Veg,Street Food / Snacks,"Bhel Chowk, Akurdi, Pune",200
Gavran Misal,Pure Veg,Maharashtrian / Snacks,"Shinde Vasti, Ravet, Pune",150
Nisarg Misal House,Pure Veg,Maharashtrian,"Mukait Chowk, Ravet, Pune",200
Appa's Canteen,Pure Veg,South Indian,"Sector 25, Pradhikaran, Akurdi, Pune",100
Durvankur Dining Hall,Pure Veg,Thali / Maharashtrian,"BRT Road, Ravet, Pune",500
Annapurna Bhojnalaya,Pure Veg,Thali,"Shinde Vasti, Ravet, Pune",120
Shaniwar Wada Veg,Pure Veg,North Indian / Maharashtrian,"Ravet Village Road, Pune",450
Kaka Halwai,Pure Veg,Sweets / Snacks,"Akurdi Gaon, Pune",250
Silver Seven,Non-Veg/Multi-cuisine,North Indian / Mughlai / Chinese,"Sector 29, Pradhikaran, Akurdi, Pune",900
Hotel Kunal,Non-Veg/Multi-cuisine,Maharashtrian / Seafood,"Akurdi Gaon, Pune",700
Surbhi Dining Hall,Non-Veg/Multi-cuisine,Multi-cuisine / Chinese,"Near Akurdi Railway Station, Pune",500
The Burger Barn Cafe,Non-Veg/Multi-cuisine,Fast Food / American,"Sector 25, Pradhikaran, Akurdi, Pune",600
Carnival Restaurant,Non-Veg/Multi-cuisine,North Indian / Continental,"Mumbai-Pune Highway, near Akurdi, Pune",1000
Sentosa Multi Cuisine Restaurant,Non-Veg/Multi-cuisine,Continental / Asian,"Sentosa Resorts, Ravet, Pune",1500
Yuvraj Dhaba,Non-Veg/Multi-cuisine,Punjabi / North Indian,"Highway Road, Ravet, Pune",800
Squisito Restaurant,Non-Veg/Multi-cuisine,Italian / Continental,"Ravet, Pune",1200
Chul Mutton,Non-Veg/Multi-cuisine,Maharashtrian / Meat,"Shinde Vasti, Ravet, Pune",750
Burger King,Non-Veg/Multi-cuisine,Fast Food,"Akurdi Railway Station Road, Pune",400
Domino's Pizza,Pure Veg,Fast Food / Pizza,"BRT Road, Ravet, Pune",500
Pk Biryani House,Non-Veg/Multi-cuisine,Biryani / Mughlai,"Akurdi Gaon, Pune",600
A1 Biryani,Non-Veg/Multi-cuisine,Biryani,"Shinde Vasti, Ravet, Pune",200
Cafe Peter,Non-Veg/Multi-cuisine,Cafe / Korean,"Ravet, Pune",700
Golden Punjab,Non-Veg/Multi-cuisine,North Indian,"Pradhikaran, Akurdi, Pune",800
Malwani Katta,Non-Veg/Multi-cuisine,Seafood / Malwani,"Sector 27, Pradhikaran, Akurdi, Pune",650
BRT Food Court,Non-Veg/Multi-cuisine,Street Food / Multi-cuisine,"BRT Road, Ravet, Pune",300
Hotel Kala Sagar,Non-Veg/Multi-cuisine,Multi-cuisine / Fine Dining,"Mumbai-Pune Highway, Pune",1800
